TTC LIDAR,TTC (FAST ORB),,TTC (FAST BRIEF),,TTC (BRISK BRIEF),
12.5156,11.9557,11.80624,12.2073,23.94668,13.8976,57.0224
12.6142,11.8847,12.11576,11.7931,25.7059,18.7891,58.5299
14.091,11.5522,13.40604,15.0283,23.96421,12.9058,57.9445
16.6894,12.9687,13.55462,13.0927,22.42233,19.5369,56.6571
15.9082,13.7434,12.01179,15.3824,24.11316,19.5146,56.5598
12.6787,12.1657,13.10577,13.3539,23.42565,18.1473,57.7602
11.9844,13.5541,13.08899,13.3794,21.66922,15.9543,57.9564
13.1241,12.5992,12.56206,13.0148,26.28876,18.4226,58.1644
13.0241,12.1132,12.93877,12.9056,26.91755,15.534,59.9106
11.1746,13.6141,14.17765,13.1082,22.67725,13.0925,59.0201
12.8086,11.8118,13.05202,11.9423,25.3612,13.6738,58.9838
8.95978,11.3421,12.14586,11.4109,22.61713,15.2743,57.6367
9.96439,11.8662,12.51583,11.8881,23.40668,12.5469,59.7618
9.59863,10.6484,12.76718,10.5187,24.86218,11.5372,59.0861
8.57352,10.1355,12.89766,11.5865,23.60062,11.0981,61.6055
9.51617,10.5277,13.63173,10.4,25.02725,12.1448,61.6522
9.54658,10.3848,12.79684,10.1029,23.69603,11.373,66.3886
8.3988,11.2615,12.89861,11.7535,23.75854,10.6618,60.4666
Average Compute Time,,12.85963444,,24.08113,,59.17259444
